 time           time           time           v(net6)       
 1.4225000e-05  1.4225000e-05  1.4225000e-05  1.1796849e+00 
 1.4275000e-05  1.4275000e-05  1.4275000e-05  1.1796849e+00 
 1.4325000e-05  1.4325000e-05  1.4325000e-05  1.1796849e+00 
 1.4375000e-05  1.4375000e-05  1.4375000e-05  1.1796849e+00 
 1.4425000e-05  1.4425000e-05  1.4425000e-05  1.1796849e+00 
 1.4475000e-05  1.4475000e-05  1.4475000e-05  1.1796849e+00 
 1.4525000e-05  1.4525000e-05  1.4525000e-05  1.1796849e+00 
 1.4575000e-05  1.4575000e-05  1.4575000e-05  1.1796849e+00 
 1.4625000e-05  1.4625000e-05  1.4625000e-05  1.1796849e+00 
 1.4675000e-05  1.4675000e-05  1.4675000e-05  1.1796849e+00 
 1.4725000e-05  1.4725000e-05  1.4725000e-05  1.1796849e+00 
 1.4775000e-05  1.4775000e-05  1.4775000e-05  1.1796849e+00 
 1.4825000e-05  1.4825000e-05  1.4825000e-05  1.1796849e+00 
 1.4875000e-05  1.4875000e-05  1.4875000e-05  1.1796849e+00 
 1.4925000e-05  1.4925000e-05  1.4925000e-05  1.1796849e+00 
 1.4975000e-05  1.4975000e-05  1.4975000e-05  1.1796849e+00 
 1.5025000e-05  1.5025000e-05  1.5025000e-05  1.1796849e+00 
 1.5075000e-05  1.5075000e-05  1.5075000e-05  1.1796849e+00 
 1.5125000e-05  1.5125000e-05  1.5125000e-05  1.1796849e+00 
 1.5175000e-05  1.5175000e-05  1.5175000e-05  1.1796849e+00 
 1.5225000e-05  1.5225000e-05  1.5225000e-05  1.1796849e+00 
 1.5275000e-05  1.5275000e-05  1.5275000e-05  1.1796849e+00 
 1.5325000e-05  1.5325000e-05  1.5325000e-05  1.1796849e+00 
 1.5375000e-05  1.5375000e-05  1.5375000e-05  1.1796849e+00 
 1.5425000e-05  1.5425000e-05  1.5425000e-05  1.1796849e+00 
 1.5475000e-05  1.5475000e-05  1.5475000e-05  1.1796849e+00 
 1.5500000e-05  1.5500000e-05  1.5500000e-05  1.1796849e+00 
 1.5505000e-05  1.5505000e-05  1.5505000e-05  1.1796837e+00 
 1.5515000e-05  1.5515000e-05  1.5515000e-05  1.1796814e+00 
 1.5535000e-05  1.5535000e-05  1.5535000e-05  1.1796786e+00 
 1.5575000e-05  1.5575000e-05  1.5575000e-05  1.1796797e+00 
 1.5625000e-05  1.5625000e-05  1.5625000e-05  1.1796879e+00 
 1.5675000e-05  1.5675000e-05  1.5675000e-05  1.1797080e+00 
 1.5725000e-05  1.5725000e-05  1.5725000e-05  1.1797609e+00 
 1.5775000e-05  1.5775000e-05  1.5775000e-05  1.1798995e+00 
 1.5825000e-05  1.5825000e-05  1.5825000e-05  1.1801893e+00 
 1.5875000e-05  1.5875000e-05  1.5875000e-05  1.1805882e+00 
 1.5925000e-05  1.5925000e-05  1.5925000e-05  1.1805963e+00 
 1.5975000e-05  1.5975000e-05  1.5975000e-05  1.1798846e+00 
 1.6000000e-05  1.6000000e-05  1.6000000e-05  1.1797801e+00 
 1.6005000e-05  1.6005000e-05  1.6005000e-05  1.1795605e+00 
 1.6015000e-05  1.6015000e-05  1.6015000e-05  1.1788508e+00 
 1.6035000e-05  1.6035000e-05  1.6035000e-05  1.1770851e+00 
 1.6075000e-05  1.6075000e-05  1.6075000e-05  1.1746613e+00 
 1.6125000e-05  1.6125000e-05  1.6125000e-05  1.1726299e+00 
 1.6175000e-05  1.6175000e-05  1.6175000e-05  1.1707542e+00 
 1.6225000e-05  1.6225000e-05  1.6225000e-05  1.1688947e+00 
 1.6275000e-05  1.6275000e-05  1.6275000e-05  1.1669699e+00 
 1.6325000e-05  1.6325000e-05  1.6325000e-05  1.1649738e+00 
 1.6375000e-05  1.6375000e-05  1.6375000e-05  1.1628876e+00 
 1.6425000e-05  1.6425000e-05  1.6425000e-05  1.1607076e+00 
 1.6475000e-05  1.6475000e-05  1.6475000e-05  1.1584283e+00 
 1.6525000e-05  1.6525000e-05  1.6525000e-05  1.1560470e+00 
 1.6575000e-05  1.6575000e-05  1.6575000e-05  1.1535623e+00 
 1.6625000e-05  1.6625000e-05  1.6625000e-05  1.1509732e+00 
