 time           time           time           v(net6)       
 1.5025000e-05  1.5025000e-05  1.5025000e-05  8.1490535e-01 
 1.5075000e-05  1.5075000e-05  1.5075000e-05  8.1490539e-01 
 1.5125000e-05  1.5125000e-05  1.5125000e-05  8.1490535e-01 
 1.5175000e-05  1.5175000e-05  1.5175000e-05  8.1490539e-01 
 1.5225000e-05  1.5225000e-05  1.5225000e-05  8.1490535e-01 
 1.5275000e-05  1.5275000e-05  1.5275000e-05  8.1490539e-01 
 1.5325000e-05  1.5325000e-05  1.5325000e-05  8.1490536e-01 
 1.5375000e-05  1.5375000e-05  1.5375000e-05  8.1490539e-01 
 1.5425000e-05  1.5425000e-05  1.5425000e-05  8.1490536e-01 
 1.5475000e-05  1.5475000e-05  1.5475000e-05  8.1490539e-01 
 1.5500000e-05  1.5500000e-05  1.5500000e-05  8.1490536e-01 
 1.5505000e-05  1.5505000e-05  1.5505000e-05  8.1490399e-01 
 1.5515000e-05  1.5515000e-05  1.5515000e-05  8.1490846e-01 
 1.5535000e-05  1.5535000e-05  1.5535000e-05  8.1495237e-01 
 1.5575000e-05  1.5575000e-05  1.5575000e-05  8.1509076e-01 
 1.5625000e-05  1.5625000e-05  1.5625000e-05  8.1518864e-01 
 1.5675000e-05  1.5675000e-05  1.5675000e-05  8.1489406e-01 
 1.5725000e-05  1.5725000e-05  1.5725000e-05  8.1335541e-01 
 1.5775000e-05  1.5775000e-05  1.5775000e-05  8.0828119e-01 
 1.5825000e-05  1.5825000e-05  1.5825000e-05  7.9441411e-01 
 1.5875000e-05  1.5875000e-05  1.5875000e-05  7.6259486e-01 
 1.5925000e-05  1.5925000e-05  1.5925000e-05  7.0144069e-01 
 1.5975000e-05  1.5975000e-05  1.5975000e-05  5.9500283e-01 
 1.6000000e-05  1.6000000e-05  1.6000000e-05  5.1593937e-01 
 1.6005000e-05  1.6005000e-05  1.6005000e-05  4.9658400e-01 
 1.6015000e-05  1.6015000e-05  1.6015000e-05  4.5693846e-01 
